round	queries	new_sources	areas	dry	added_capability
1	3	staffeng.com, lethain.com, devladder.substack.com	peer/cross-functional managing-across	no	unit-of-trade relationships, easy-to-say-yes requests, gratitude systems, per-partner cadences, unsticking cross-team projects, trust-before-title
2	3	leaddev.com, revolgy.com, dsinnovators.com, em-tools.io	making the business case for technical work	no	debt/risk translated per-stakeholder, interest-payment costing, ARR-at-risk framing, bounded-sprint ask shape, board exit-timeline tie
3	3	speakbydesign.com, lattice.com, habitstrong.com	saying no / declining low-value work	no	decline-vs-refusal framing, redirect/alternative/handoff, promptness, decline-the-work-not-the-person, restructure a no into a yes
4	3	larahogan.me, jacobian.org, ccl.org, infoq.com	hard feedback mechanics	no	camera-recording behavior not interpretation, SBI/feedback-equation, single-message, prompt+private, close-with-wanted-behavior, structure-for-praise-too, receiving-side ask-until-understand
5	3	lethain.com/bar-raising, staffeng.com/staff-plus-interview-process, jobsbyculture.com, incruiter.app	being a bar-raiser on hiring loops	no	hiring-as-standard-setting, incentive-detachment not title, chair-the-debrief, someone-like-us and not-better-than-me bias traps, write-feedback-for-absent-reader
6	3	uplevelteam.com, danalvare.com, confidenceplaybook.org, blog.vividmap.io	entering a new scope (first-stretch reconnaissance)	no	listen-before-prescribe, credit-vs-credibility, map informal influence, don-t-change-fast, read-docs-not-aimed-at-you, early-win + follow-through, don-t-apologize-for-presence
7	3	lethain.com/terminal-level-rulebook, jobsbyculture.com/principal-ceiling, scaleyourcareer.com, alemewerlof.com	terminal level / sustained growth past the ceiling	no	terminal-level rules-still-exist, relationships-outweigh-rules, urgent-vs-ambiguous-projects, get-stuck-then-move, depth-becomes-table-stakes, make-decisions-visible-outside-team
8	2	larahogan.me/delegation-is-an-art, leadshift.dev, mentorcruise.com, pointer.io
delegation mechanics	no	fully-handoff-vs-task-assignment, transfer-authority, delegate-to-who-grows-most, support-from-behind, delegate-but-verify/cadence, messy-project-with-safety-net, reverse-delegation trap
9	2	themlarchitect.com, pragmaticengineer.com, tonyandrewmeyer.com, grocto.substack.com	maintaining technical credibility when coding less	no	less-code-more-credibility paradox, stay-in-the-work (design/arch reviews, postmortems, incident analysis, run-own-software), judgment-stays-calibrated, don-t-compete-with-ICs
10	2	vibhorchandel.com, em-tools.io, cio.com	disagreement resolution (proposal-based + experiments)	no	shift-opinions-to-proposals (problem/approach/tradeoffs/risks/assumptions), timeboxed experiment to let evidence decide
11	dry-probe: remote/distributed + escalation	marginal; remote-coordination is a real-but-secondary niche, escalation overlaps existing conflict/decision sections	assessment: dry	no	(dry: no distinct new capability adopted)
12	3	newsletter.eng-leadership.com (Pinterest staff-eng case), lethain.com/team-charters, em-tools.io
surface-area expansion + self-sustaining systems	no	expand surface area (proactive domain takeover, seed-community, let opportunities compound), build systems that run without you (measurement dashboards, hook-in config, hand-off design)
13	2	ctoexecutiveinsights.com (staff/principal decision authority), thoughtworks.com/tech-lead-mistakes, newsletter.techleadmentor.com
decision authority + engagement depth	no	authority-follows-blast-radius-and-reversibility (lean into multi-team irreversible, divest local reversible), influence-without-veto (force trade-off, present data), escalation criteria (org-wide impact / stability / security), avoid becoming bottleneck-vs-rubber-stamp
14	3	infoq.com/strategic-influence, staffeng.com/staff-archetypes, kodus.io/impact-vector, alexewerlof.com
strategic-conversation access + internal brand	no	move-up-funnel (find out about problems early), source-where-strategy-happens, be-a-beginner in other business areas, craft internal brand in org-adjacent niche, saying-yes rubric (initiative>BAU, growth, relationships, precedent) + probabilistic tell-me-more
15	2	letsbuildsolutions.com/staff-playbook, alexewerlof.com/staff-vs-em, em-tools.io, executivepath.net
staff/EM partnership + decision devolution	no	staff-owns-technical-case-EM-owns-prioritization split, shared roadmap artifact, hand-off-decision-authority (surface tradeoffs, recommend, let owner own it), don't-be-the-bottleneck
16	2	engineer-knowledge/10-deliberate-practice (senior), builtin.com/stay-sharp, gitlab/gusto onboarding
deliberate practice at staff level	no	judgment-holds-slow-feedback, engineer feedback loops (write down prediction/check, review designs after, ask teams months later which calls held)
17	2	em-tools.io/succession-planning, joshhornby.com/inheriting-a-struggling-team, successleadershipsolutions
bus-factor + succession	no	active bus-factor management (only-person-knows-is-a-trap that blocks promotion), develop 2-3 successors not one, hand decisions+visibility progressively, document reasoning so it survives you
18	2	joshhornby.com/inheriting-a-struggling-team, patternica.com/first-90-days, recruitingfromscratch.com/startup-roles
inherited team/project turnaround (chronic not acute)	no	stop-the-bleeding + min quality standards, make debt visible, protect sprint slice, two-week visible fix as credibility signal, honest-upward trust rebuilding, separate-environment-from-individual before judging performance, fair hard-calls
19	dry-confirm: AI-era staff orchestration + non-technical-manager bridging	A-AREA: AI orchestration is a real topic but a contemporary trend-extension, not a timeless staff+ operating capability in this canon; would date the field guide and risk drifting from primary-canon coverage. non-technical-manager bridging is redundant with existing presenting-up / stay-aligned sections. Assessment: dry.	no	(dry confirm: no distinct new canonical operating capability adopted)
20	4	lethain.com (build versus buy: vendor-as-debt, risk/value/cost, vendor flexibility), techconcepts.org (build vs buy six variables), remotebase.com + technical-leaders.com (EQ/emotion regulation), andrewwegner.com + datadrivendaily.com (distributed async leadership)	build-vs-buy as staff-owned operating decision (decisions section); scanned underperformance + EQ + distributed leadership as candidate areas	no	build-vs-buy framework (vendor-as-outstanding-debt, evaluate risk/value/cost, vendor-flexibility-not-agnosticism, manage-vendors-like-a-team, two bureaucratic derailers); re-examined underperforming-engineer / emotional-regulation / distributed-async as nearby areas (mostly redundant with conflict/feedback and present-up sections)
