round	queries	new_books	areas	dry	new_value_added
1	AI safety books 2024-2026, AI interpretability books, HCI books 2024-2025, computational neuroscience books 2024-2025	7 (The Coming Wave, If Anyone Builds It, Life 3.0 in Safety; The Alignment Problem, Samek XAI in Interpretability; Interaction Design 6th, UX Book in HCI; From Neuron to Cognition, Modeling Neural Circuits in Neuro) + annotations for ALL 78 existing	annotations (all books), AI Safety, AI Interpretability, HCI, Neuro-Inspiration	no	Every book now has a one-line opinionated annotation; thin domains (Safety 2->5, Interpretability 2->4, HCI 4->6, Neuro 3->5) reinforced with canonical additions
2	post-2023 epistemology/cognition/systems/memory; AI Engineering, systems engineering 2024-2026	3 (Bayesian Models of Cognition, Why We Remember, The Complex World) + cross-domain connections section	post-2023 works, cross-domain connections	no	Surfaced 3 post-2023 canonical works; established Cross-Domain Connections section bridging 6 pairs of books across domains
3	LLM/RLHF books, Chomsky successor syntax, RL books 2024-2025	2 (Mathematical Structure of Syntactic Merge, AI Engineering)	post-2023 symbolic systems + applied AI	no	Added Chomsky's late-career Merge formalization and Chip Huyen's AI Engineering (LLM production bible)
4	ESL/ISLR canonical ML, embodied cognition, consciousness IIT/GNW, extended mind	4 (ESL, ISLR, The Embodied Mind, Then I Am Myself the World)	confirm-pass: AI stats canon, cognitive systems, consciousness	no	Confirm-pass surfaced real gaps: ESL+ISLR (missing ML canon), Embodied Mind (missing 4E origin), Koch's IIT book (post-2023 consciousness)
5	spatial computing, agentic UX, cybernetics 2024-2026, epistemology post-2023	2 (Human Spatial Computing, Sentient Design) + cross-refs + rename Systems "(Additions)" label	HCI spatial/AI seeding, systems thinking	no	Added spatial-computing HCI bridge and AI-native interaction design (Sentient Design) — a genuinely new HCI territory
6	agentic UX, social epistemology, extended mind	2 (Cybernetics, General System Theory)	confirm-pass: systems thinking origin texts	no	Confirm-pass found the true founding pillar texts (Wiener, Bertalanffy) missing from an otherwise-covered systems section
7	casual ML/DML, causal foundation models	1 (Applied Causal Inference Powered by ML and AI)	confirm-pass: causal inference modern canon	no	Added the double-ML successor to Pearl — distinct territory Pearl's 2009 book predates
8	Xiao-Jing Wang computational neuroscience, neurology books 2025	1 (Theoretical Neuroscience: Understanding Cognition)	confirm-pass: computational neuroscience post-2023	no	Added Wang's cognitive-focused successor to Dayan & Abbott
9	user-added recommendations	4 (Logicomix, Probability Theory: The Logic of Science, The Feynman Lectures, Nanosystems) + new Foundations domain	user-sourced additions, new Foundations domain	no	Added Rishit's recs: Logicomix (Russell graphic novel → Epistemology), Jaynes probability + Feynman physics + Drexler Nanosystems (new "Foundations" domain)
10	confirm-pass: agentic UX, applied AI LLM books, remaining seams	0	new - returned to agentic-UX/LLM books already represented by Sentient Design + AI Engineering; no distinct new high-value resource found	yes	(dry: all 15 domains covered, 107 entries, all annotated, cross-refs + post-2023 present)
